TITLE                                                        | CATEGORY             | LOCATION
--------------------------------------------------------------------------------------------------------------
Büyükşehir den kadın ve aile odaklı örnek proje              | Diğer                | Bu kapsamda Ömer Türkçakal Bulvarı, Kocaeli, Turkey
Alikahya istikametinde 6 durağın tabelası asıldı             | Diğer                | Derince, Kocaeli, Turkey
Fidan dikimi sırasında insan kafatası ve kemik parçaları b   | Diğer                | Güney Mahallesi, Kocaeli, Turkey
Derince de delinen doğalgaz borusu mahalleliyi korkuttu      | Diğer                | Sırrıpaşa Mahallesi, Kocaeli, Turkey
Nesli tükenme tehlikesiyle karşı karşıya kalan kuşlar bile   | Diğer                | Derince, Kocaeli, Turkey
Selçuk İnan: Benden nefret eden bir hakem olduğunu düşünüy   | Diğer                | Körfez, Kocaeli, Turkey
Kocaelispor da sezonun en düşük seyirci sayısı               | Diğer                | Körfez, Kocaeli, Turkey
Penaltı pozisyonunu bize açıklamalılar                       | Diğer                | Körfez, Kocaeli, Turkey
U14 Türkiye Futbol Şampiyonası nda Körfez GB 2 1 Balıkesir   | Diğer                | Körfez, Kocaeli, Turkey
Trendyol Süper Lig: Kocaelispor: 1 - Konyaspor: 2            | Diğer                | Körfez, Kocaeli, Turkey
Trendyol Süper Lig: Kocaelispor: 0 - Konyaspor: 0 (İlk yar   | Diğer                | Körfez, Kocaeli, Turkey
Fatma Başkan, Akarca da yüzlerce vatandaşlarla aynı sofrad   | Diğer                | Bu kapsamda Yuvam Akarca Gazi Mustafa Kemal Bulvarı, Kocaeli, Turkey
Kocaelispor tarihinde 3 kaleci 100 maç barajını geçti        | Diğer                | Körfez, Kocaeli, Turkey
Dilovası Müftülük binasının temeli atıldı                    | Diğer                | Derince, Kocaeli, Turkey
D-100 Karayolu nda hız limitleri yükseldi, EDS tabelaları    | Diğer                | Kirazlıyalı mevkii, Kocaeli, Turkey
Üst aramasında narkotik madde ele geçirildi                  | Diğer                | Kandıra, Kocaeli, Turkey
Hayati İnanç: Zamanın kıymetini bilin                        | Diğer                | Derince, Kocaeli, Turkey
Filoya katılan yeni tramvay raylarla buluştu                 | Diğer                | Derince, Kocaeli, Turkey
17 yılda 110 milyon yolcu YHT ile seyahat etti               | Diğer                | Derince, Kocaeli, Turkey
Şehir uyurken ekipler sahada                                 | Diğer                | Başiskele ilçesi Aydınkent Mahallesi, Kocaeli, Turkey
Kocaelispor dan doktorlara Tıp Bayramı sürprizi              | Diğer                | Derince, Kocaeli, Turkey
Kocaelispor dan doktorlara Tıp Bayramı sürprizi              | Diğer                | Derince, Kocaeli, Turkey
Büyükakın dan sağlıkçılara: Siz sadece meslek değil insanl   | Diğer                | Derince, Kocaeli, Turkey
Büyükakın dan sağlıkçılara: Siz sadece meslek değil insanl   | Diğer                | Derince, Kocaeli, Turkey
Derince Kent İftarı na Davet                                 | Diğer                | tüm ilçe sakinlerimizi 16 Mart Pazartesi günü Denizciler Caddesi, Kocaeli, Turkey
Derince Kent İftarı na Davet                                 | Diğer                | tüm ilçe sakinlerimizi 16 Mart Pazartesi günü Denizciler Caddesi, Kocaeli, Turkey
105 milyon liralık dolandırıcılık operasyonunda 18 şüpheli   | Diğer                | Gölcük, Kocaeli, Turkey
105 milyon liralık dolandırıcılık operasyonunda 18 şüpheli   | Diğer                | Gölcük, Kocaeli, Turkey
BAŞKAN KUMSAR DAN BAYRAM PAZARI NA DAVET                     | Diğer                | Derince, Kocaeli, Turkey
BAŞKAN KUMSAR DAN BAYRAM PAZARI NA DAVET                     | Diğer                | Derince, Kocaeli, Turkey
LÖSEV hayatlara dokunan bir umuttur                          | Diğer                | Derince, Kocaeli, Turkey
LÖSEV hayatlara dokunan bir umuttur                          | Diğer                | Derince, Kocaeli, Turkey
